,Summons Number,Plate ID,Issue Date,Violation code,Violation Description,Registration State,Vehicle Make,Vehicle Expiration Date,Vehicle Color,alert
0,8002531292,EPC5238,10/01/2014,21,No Parking (street clean),NY,CHEVR,01/01/20150111 12:00:00 PM,BL,0
1,8015318440,5298MD,03/06/2015,14,No Standing,NY,FRUEH,01/01/88888888 12:00:00 PM,BROWN,0
2,7611181981,FYW2775,07/28/2014,46A,Double Parking (Non-COM),NY,SUBAR,01/01/20160524 12:00:00 PM,BLACK,0
3,7445908067,GWE1987,04/13/2015,19,No Stand (bus stop),NY,LEXUS,01/01/20170111 12:00:00 PM,GY,0
4,7037692864,T671196C,05/19/2015,19,No Stand (bus stop),NY,CHRYS,01/01/88888888 12:00:00 PM,BLACK,0
5,7704791394,JJF6834,11/20/2014,21,No Parking (street clean),PA,NISSA,01/01/20150688 12:00:00 PM,WHITE,0
6,7541599104,FYP8263,08/01/2014,21,No Parking (street clean),NY,HONDA,01/01/20160605 12:00:00 PM,BK,0
7,7443513951,FZL7450,07/19/2014,71A,Insp Sticker Expired (NYS),NY,VOLVO,01/01/20140927 12:00:00 PM,GR,0
8,7426321423,86318MA,09/23/2014,69,Failure to Disp Muni Recpt,NY,CHEVR,01/01/20150720 12:00:00 PM,WH,0
9,8017159560,GKX8095,01/20/2015,71A,Insp Sticker Expired (NYS),NY,LEXUS,01/01/20151207 12:00:00 PM,GREEN,0
10,8017159560,GKX8095,01/20/2015,71A,Insp Sticker Expired (NYS),NY,LEXUS,01/01/20151207 12:00:00 PM,GREEN,0
11,7002571382,CXT8949,02/17/2015,20A,No Parking (Non-COM),TX,MAZDA,01/01/88880088 12:00:00 PM,WHITE,0
12,7939966900,GSR4914,05/05/2015,20A,No Parking (Non-COM),NY,DODGE,01/01/20160911 12:00:00 PM,SILVE,0
13,7704167637,XBVP75,10/21/2014,16,No Std (Com Veh) Com Plate,NJ,FORD,01/01/20140088 12:00:00 PM,WHITE,0
14,7095480941,AP515N,08/21/2014,85,Storage-3 hour Commercial,NJ,FRUEH,01/01/88888888 12:00:00 PM,WHITE,0
15,7831181295,16238TC,08/07/2014,14,No Standing,NY,PETER,01/01/20150430 12:00:00 PM,BLUE,0
16,8007006229,122YEZ,08/26/2014,21,No Parking (street clean),CT,NISSA,01/01/20140088 12:00:00 PM,TAN,0
17,1369109532,65920JW,06/23/2014,,,NY,MERCU,01/01/20141031 12:00:00 PM,BROWN,0
18,7580650400,GBU2135,09/24/2014,71A,Insp Sticker Expired (NYS),NY,HONDA,01/01/20160816 12:00:00 PM,WH,0
19,7420795630,6AJWV5,10/04/2014,37,Expired Muni Meter,CT,FORD,01/01/88880088 12:00:00 PM,BLACK,0
20,1379105602,GDL7305,01/21/2015,,,NY,TOYOT,01/01/20150105 12:00:00 PM,GRAY,0
21,7054223901,58359MD,03/26/2015,42,Exp. Muni-Mtr (Com. Mtr. Z),NY,FORD,01/01/20150831 12:00:00 PM,BL,0
22,8011213386,60304MD,10/06/2014,46B,Double Parking (Com-100Ft),NY,FRUEH,01/01/88888888 12:00:00 PM,BROWN,0
23,7997989572,GJP9663,01/24/2015,20A,No Parking (Non-COM),NY,NISSA,01/01/20151029 12:00:00 PM,BK,0
24,7997989572,GJP9663,01/24/2015,20A,No Parking (Non-COM),NY,NISSA,01/01/20151029 12:00:00 PM,BK,0
25,7097098715,G78DLL,03/11/2015,38,Failure to Display Muni Rec,NJ,BMW,01/01/88888888 12:00:00 PM,GREY,0
26,7787591079,GKP6078,11/19/2014,20A,No Parking (Non-COM),NY,CHRYS,01/01/20151126 12:00:00 PM,GL,0
27,8023905028,GAR6688,02/24/2015,20A,No Parking (Non-COM),NY,MAZDA,01/01/20161108 12:00:00 PM,TN,0
28,1369992300,1545236,08/20/2014,,,ME,,01/01/20150228 12:00:00 PM,SILVE,0
29,7359154236,M80ANH,11/14/2014,37,Expired Muni Meter,NJ,ACURA,01/01/88888888 12:00:00 PM,RED,0
30,7950697490,25X944,12/23/2014,46B,Double Parking (Com-100Ft),OK,INTER,01/01/20140088 12:00:00 PM,WHITE,0
31,1371360765,36913MA,09/15/2014,,,NY,HINO,01/01/20150630 12:00:00 PM,WHITE,0
32,8035700765,GKB7155,06/09/2015,21,No Parking (street clean),NY,CHRYS,01/01/20160224 12:00:00 PM,BR,0
33,7766334392,CJP1169,09/05/2014,37,Expired Muni Meter,NY,NISSA,01/01/20150325 12:00:00 PM,BLACK,0
34,7744281500,EYB8055,12/18/2014,21,No Parking (street clean),NY,TOYOT,01/01/20160402 12:00:00 PM,GY,0
35,8021902164,96313JE,04/07/2015,46B,Double Parking (Com-100Ft),NY,ISUZU,01/01/20151231 12:00:00 PM,WH,0
36,7579558312,60154JZ,09/11/2014,89,No Stand Exc Com Plate,NY,CHEVR,01/01/20160331 12:00:00 PM,WH,0
37,7006621586,FFE3632,08/12/2014,38,Failure to Display Muni Rec,NY,TOYOT,01/01/88888888 12:00:00 PM,BROWN,0
38,7567693926,GSM7092,07/14/2014,21,No Parking (street clean),NY,HONDA,01/01/20140818 12:00:00 PM,BLACK,0
39,8013576309,44189JW,01/21/2015,71A,Insp Sticker Expired (NYS),NY,FORD,01/01/20150131 12:00:00 PM,WH,0
40,8013576309,44189JW,01/21/2015,71A,Insp Sticker Expired (NYS),NY,FORD,01/01/20150131 12:00:00 PM,WH,0
41,7540622817,G98BVF,09/09/2014,37,Expired Muni Meter,NJ,DODGE,01/01/88888888 12:00:00 PM,SILVE,0
42,7468795666,33451MB,05/26/2015,21,No Parking (street clean),NY,FORD,01/01/20161024 12:00:00 PM,RED,0
43,7665067440,JFS9782,11/29/2014,38,Failure to Display Muni Rec,PA,AUDI,01/01/20150188 12:00:00 PM,WHITE,0
44,7236306897,18846MC,07/31/2014,14,No Standing,NY,NS/OT,01/01/20150430 12:00:00 PM,WHITE,0
45,7553907455,W73DRS,01/12/2015,21,No Parking (street clean),NJ,NISSA,01/01/88888888 12:00:00 PM,TAN,0
46,7553907455,W73DRS,01/12/2015,21,No Parking (street clean),NJ,NISSA,01/01/88888888 12:00:00 PM,TAN,0
47,7557194007,CME3770,12/11/2014,71A,Insp Sticker Expired (NYS),NY,SUBAR,01/01/20150604 12:00:00 PM,GY,0
48,7166745757,GEB3048,08/25/2014,38,Failure to Display Muni Rec,NY,HYUND,01/01/20150114 12:00:00 PM,GY,0
49,8005280350,55065MB,11/24/2014,69,Failure to Disp Muni Recpt,NY,WORKH,01/01/88888888 12:00:00 PM,BROWN,0
50,7758777260,GLY1430,01/03/2015,14,No Standing,NY,TOYOT,01/01/20160309 12:00:00 PM,GY,0
51,7758777260,GLY1430,01/03/2015,14,No Standing,NY,TOYOT,01/01/20160309 12:00:00 PM,GY,0
52,7846676386,75455MC,07/28/2014,42,Exp. Muni-Mtr (Com. Mtr. Z),NY,MITSU,01/01/20151231 12:00:00 PM,WH,0
53,7576361815,EDT9406,01/21/2015,71A,Insp Sticker Expired (NYS),NY,PORSC,01/01/20151023 12:00:00 PM,BLACK,0
54,7576361815,EDT9406,01/21/2015,71A,Insp Sticker Expired (NYS),NY,PORSC,01/01/20151023 12:00:00 PM,BLACK,0
55,8035751074,GXM6310,05/30/2015,37,Expired Muni Meter,NY,SUBAR,01/01/20170507 12:00:00 PM,BK,0
56,7055049702,XU399F,05/09/2015,14,No Standing,NJ,UD,01/01/88880088 12:00:00 PM,SILVE,0
57,7715539594,62417JM,10/29/2014,20,No Parking (Com Plate),NY,INTER,01/01/88888888 12:00:00 PM,BROWN,0
58,8017257454,GRD8338,12/05/2014,21,No Parking (street clean),NY,HONDA,01/01/20160521 12:00:00 PM,GY,0
59,7799971009,FPJ1465,08/28/2014,38,Failure to Display Muni Rec,NY,LEXUS,01/01/20150811 12:00:00 PM,LTG,0
60,8024714814,GVJ6924,05/12/2015,21,No Parking (street clean),NY,NISSA,01/01/20170104 12:00:00 PM,GY,0
61,8018677712,T653918C,05/21/2015,21,No Parking (street clean),NY,TOYOT,01/01/20150731 12:00:00 PM,WH,0
62,7578730459,GKZ9055,11/21/2014,21,No Parking (street clean),NY,ACURA,01/01/20160101 12:00:00 PM,WH,0
63,7793554656,81091MB,09/09/2014,37,Expired Muni Meter,NY,NS/OT,01/01/20160104 12:00:00 PM,GREEN,0
64,1375236910,GJS5597,09/23/2014,,,NY,HONDA,01/01/20150807 12:00:00 PM,BK,0
65,7211165765,ETU5293,11/04/2014,38,Failure to Display Muni Rec,NY,LEXUS,01/01/20150812 12:00:00 PM,BK,0
66,8018711094,EWT8528,05/28/2015,37,Expired Muni Meter,NY,HONDA,01/01/20160222 12:00:00 PM,GY,0
67,1367471345,GSE2596,08/09/2014,,,NY,TOYOT,01/01/20160729 12:00:00 PM,WH,0
68,7006635950,GMW4217,04/02/2015,71A,Insp Sticker Expired (NYS),NY,ME/BE,01/01/20160307 12:00:00 PM,BLACK,0
69,7012261912,87628MC,12/19/2014,40,Fire Hydrant,NY,INTER,01/01/20150228 12:00:00 PM,RD,0
70,8007021619,DT50359,12/19/2014,21,No Parking (street clean),AL,ME/BE,01/01/20151188 12:00:00 PM,BLACK,0
71,7988181105,DLM5398,12/05/2014,21,No Parking (street clean),NY,HONDA,01/01/20151124 12:00:00 PM,WH,0
72,7985378662,AP580Z,11/18/2014,84,Platform lifts in low posit,NJ,FRUEH,01/01/88888888 12:00:00 PM,WHITE,0
73,7565529965,81651JN,07/23/2014,48,Bike Lane,NY,INTER,01/01/20141130 12:00:00 PM,WHITE,0
74,7969133666,FYK4168,11/24/2014,38,Failure to Display Muni Rec,NY,TOYOT,01/01/20160320 12:00:00 PM,WH,0
75,7715546963,AM871N,12/24/2014,14,No Standing,NJ,INTER,01/01/88888888 12:00:00 PM,GREEN,0
76,7811447563,C88DJT,08/30/2014,20A,No Parking (Non-COM),NJ,NISSA,01/01/88888888 12:00:00 PM,BLACK,0
77,7231151954,FZD9325,05/12/2015,21,No Parking (street clean),NY,NISSA,01/01/20160423 12:00:00 PM,GY,0
78,7322602833,FZL8838,04/21/2015,21,No Parking (street clean),NY,NS/OT,01/01/88888888 12:00:00 PM,BLACK,0
79,7253931865,HS8919,03/11/2015,38,Failure to Display Muni Rec,NJ,FORD,01/01/88888888 12:00:00 PM,SILVE,0
80,7982623451,DTJ1619,08/28/2014,38,Failure to Display Muni Rec,NY,TOYOT,01/01/20150821 12:00:00 PM,WHITE,0
81,7322394872,GFL2098,12/16/2014,21,No Parking (street clean),NY,ME/BE,01/01/20150407 12:00:00 PM,GY,0
82,7487409983,EBF1693,12/10/2014,38,Failure to Display Muni Rec,NY,ACURA,01/01/20160228 12:00:00 PM,SILVE,0
83,8014364727,G75DWB,01/28/2015,40,Fire Hydrant,NJ,BUICK,01/01/88888888 12:00:00 PM,GREY,0
84,7831182380,91414MD,08/13/2014,69,Failure to Disp Muni Recpt,NY,INTER,01/01/20150131 12:00:00 PM,WH,0
85,1366539345,FYB2774,07/01/2014,,,NY,HONDA,01/01/20140521 12:00:00 PM,BLACK,0
86,7291434270,D12DKZ,07/14/2014,38,Failure to Display Muni Rec,NJ,SUBAR,01/01/88888888 12:00:00 PM,BLUE,0
87,7753938370,FMT2474,08/29/2014,19,No Stand (bus stop),NY,TOYOT,01/01/20151026 12:00:00 PM,GR,0
88,7999196228,HLN3387,08/05/2014,21,No Parking (street clean),PA,HONDA,01/01/20150688 12:00:00 PM,SILVE,0
89,8007539610,18580MG,02/12/2015,38,Failure to Display Muni Rec,NY,UD,01/01/20151031 12:00:00 PM,WH,0
90,7072228573,74380JF,07/08/2014,47,Double PKG-Midtown,NY,FRUEH,01/01/20140930 12:00:00 PM,RD,0
91,8007812362,61508MC,11/28/2014,37,Expired Muni Meter,NY,FORD,01/01/20150131 12:00:00 PM,WH,0
92,1378109041,ETP8135,11/10/2014,,,NY,NISSA,01/01/20150817 12:00:00 PM,WH,0
93,7215146558,FWF7853,07/07/2014,38,Failure to Display Muni Rec,NY,HONDA,01/01/20150419 12:00:00 PM,GREY,0
94,7719036463,24705MB,01/28/2015,37,Expired Muni Meter,NY,MITSU,01/01/20160131 12:00:00 PM,WHITE,0
95,7060593627,2119313,03/09/2015,84,Platform lifts in low posit,IN,FRUEH,01/01/88880088 12:00:00 PM,WHITE,0
96,7904510741,FSR4824,10/26/2014,14,No Standing,PA,DODGE,01/01/20150788 12:00:00 PM,GREY,0
97,7800337388,52732MC,11/21/2014,82,Unaltered Commerc Vehicle,NY,JEEP,01/01/20151031 12:00:00 PM,BK,1
98,1368841090,T621450C,11/20/2014,,,NY,CHEVR,01/01/20150331 12:00:00 PM,BK,0
99,7691548266,GTJ3754,12/25/2014,71,Insp. Sticker Missing (NYS,NY,BMW,01/01/20161029 12:00:00 PM,BL,0
100,7094378518,FLL6751,06/26/2014,21,No Parking (street clean),NY,ACURA,01/01/20150504 12:00:00 PM,GREY,0
101,7440791903,GVV2441,02/06/2015,38,Failure to Display Muni Rec,NY,HONDA,01/01/20170106 12:00:00 PM,BK,0
102,7887951800,AN922T,06/25/2015,84,Platform lifts in low posit,NJ,PETER,01/01/88888888 12:00:00 PM,WHITE,0
103,1371485276,GEW9636,08/09/2014,,,NY,DODGE,01/01/20160325 12:00:00 PM,BLUE,0
104,8023566775,GMW8673,05/01/2015,21,No Parking (street clean),NY,SUBAR,01/01/20160314 12:00:00 PM,GY,0
105,7737910621,JCL1966,12/05/2014,21,No Parking (street clean),PA,INFIN,01/01/20141088 12:00:00 PM,GREY,0
106,7295562072,GGF5637,09/07/2014,71A,Insp Sticker Expired (NYS),NY,TOYOT,01/01/20150808 12:00:00 PM,GY,0
107,8024851064,DWE1387,03/11/2015,37,Expired Muni Meter,NY,BMW,01/01/20161024 12:00:00 PM,BK,0
108,7897987036,28665PC,06/28/2014,19,No Stand (bus stop),NY,FRUEH,01/01/20150430 12:00:00 PM,RED,0
109,7662244076,66111JW,03/25/2015,51,Sidewalk,NY,WORKH,01/01/88888888 12:00:00 PM,BROWN,0
110,7887930730,48549JW,01/07/2015,69,Failure to Disp Muni Recpt,NY,FORD,01/01/20160630 12:00:00 PM,WH,0
111,7887930730,48549JW,01/07/2015,69,Failure to Disp Muni Recpt,NY,FORD,01/01/20160630 12:00:00 PM,WH,0
112,7381691012,986ZGB,02/26/2015,38,Failure to Display Muni Rec,CT,CHEVR,01/01/20150088 12:00:00 PM,SILVE,0
113,7029127857,B47ENR,06/16/2015,20A,No Parking (Non-COM),NJ,JEEP,01/01/88888888 12:00:00 PM,RED,0
114,8028903850,S81ATV,03/30/2015,74A,Improperly Displayed Plate,NJ,TOYOT,01/01/88888888 12:00:00 PM,BLACK,0
115,7099490588,42808JZ,07/19/2014,17,No Stand (exc auth veh),NY,GMC,01/01/88888888 12:00:00 PM,WHITE,0
116,7047383785,EXS3290,05/27/2015,16A,No Std (Com Veh) Non-COM,NY,LEXUS,01/01/20160504 12:00:00 PM,GY,0
117,1372046290,ADD7203,11/10/2014,,,NY,HONDA,01/01/20150418 12:00:00 PM,GY,0
118,7818597608,CPF6528,02/15/2015,17,No Stand (exc auth veh),NY,NISSA,01/01/20150730 12:00:00 PM,BK,0
119,7008624748,JSM5749,11/26/2014,40,Fire Hydrant,PA,VOLVO,01/01/20140088 12:00:00 PM,BLUE,0
120,7613059390,EEV1682,12/06/2014,38,Failure to Display Muni Rec,NY,HONDA,01/01/20151101 12:00:00 PM,SILVE,0
121,7163117346,ACT4918,08/14/2014,20A,No Parking (Non-COM),NC,FORD,01/01/20150588 12:00:00 PM,BLACK,0
122,7773113440,246ZSK,05/17/2015,14,No Standing,CT,HONDA,01/01/20150088 12:00:00 PM,BLACK,0
123,1381130574,GLS5435,05/03/2015,,,NY,NISSA,01/01/20151113 12:00:00 PM,BK,0
124,7390770430,E64EAK,04/13/2015,37,Expired Muni Meter,NJ,HONDA,01/01/88888888 12:00:00 PM,SILVE,0
125,8001662895,BZA3074,11/25/2014,16A,No Std (Com Veh) Non-COM,NY,CHRYS,01/01/20160912 12:00:00 PM,BK,0
126,7055345777,30684KA,07/03/2014,47,Double PKG-Midtown,NY,ISUZU,01/01/20151231 12:00:00 PM,WH,0
127,1377566353,FPE8144,02/06/2015,,,NY,HYUND,01/01/20150321 12:00:00 PM,GRAY,0
128,7442734261,BHV8865,07/02/2014,21,No Parking (street clean),NY,NS/OT,01/01/20160607 12:00:00 PM,RED,0
129,8024556108,GXX9973,06/21/2015,40,Fire Hydrant,NY,ME/BE,01/01/20170531 12:00:00 PM,BK,0
130,1377069310,FFD8782,10/18/2014,,,NY,CHEVR,01/01/20141018 12:00:00 PM,WHITE,0
131,7335198197,EXP7988,08/03/2014,20A,No Parking (Non-COM),NY,DODGE,01/01/20160328 12:00:00 PM,BK,0
132,7980693826,AN306T,06/22/2015,47,Double PKG-Midtown,NJ,NS/OT,01/01/88888888 12:00:00 PM,WHITE,1
133,7299969592,RSR547,08/14/2014,46A,Double Parking (Non-COM),MA,SUBAR,01/01/20160788 12:00:00 PM,GREEN,0
134,7911129988,9AHPJ9,08/01/2014,31,No Stand (Com. Mtr. Zone),CT,JEEP,01/01/88880088 12:00:00 PM,LAVEN,0
135,1373825571,GFM3768,08/01/2014,,,NY,BMW,01/01/20150424 12:00:00 PM,BL,0
136,7887179804,DXD9387,09/14/2014,16A,No Std (Com Veh) Non-COM,NY,HONDA,01/01/20150131 12:00:00 PM,WHITE,0
137,7053450260,75467MC,12/17/2014,47,Double PKG-Midtown,NY,MITSU,01/01/20141231 12:00:00 PM,WH,0
138,7059291301,66647KA,07/16/2014,20,No Parking (Com Plate),NY,FORD,01/01/20160531 12:00:00 PM,WH,0
139,7686364550,23046MD,05/15/2015,19,No Stand (bus stop),NY,FRUEH,01/01/20160430 12:00:00 PM,WH,0
140,7820799067,AF851U,11/17/2014,14,No Standing,NJ,MACK,01/01/88888888 12:00:00 PM,OTHER,0
141,7929472590,62632JD,03/12/2015,46B,Double Parking (Com-100Ft),NY,INTER,01/01/20150531 12:00:00 PM,RED,0
142,7779989239,P132083,01/30/2015,66,Detached Trailer,IN,NS/OT,01/01/88880088 12:00:00 PM,GREY,0
143,7927555753,2RL397,06/29/2015,40,Fire Hydrant,OK,FORD,01/01/88880088 12:00:00 PM,WHITE,0
144,7929999350,VAD73J,05/01/2015,37,Expired Muni Meter,NJ,TOYOT,01/01/88888888 12:00:00 PM,SILVE,0
145,8042811767,GJM7331,06/23/2015,14,No Standing,NY,HONDA,01/01/20150930 12:00:00 PM,RD,0
146,7359162294,AXW8175,12/20/2014,38,Failure to Display Muni Rec,GA,HONDA,01/01/20140088 12:00:00 PM,GREY,0
147,7909166874,5BNL532,06/01/2015,21,No Parking (street clean),CA,VOLKS,01/01/20150088 12:00:00 PM,RED,0
148,7546356799,21704MG,02/23/2015,38,Failure to Display Muni Rec,NY,KENWO,01/01/20160131 12:00:00 PM,WHITE,0
149,7304393786,63398JM,07/14/2014,51,Sidewalk,NY,GMC,01/01/88888888 12:00:00 PM,BROWN,0
150,7098650717,T518319C,06/20/2015,37,Expired Muni Meter,NY,LINCO,01/01/20160331 12:00:00 PM,TN,0
151,1371162438,FPJ1829,10/17/2014,,,NY,HONDA,01/01/20150809 12:00:00 PM,BLK,0
152,7933595054,PGQ1276,10/24/2014,38,Failure to Display Muni Rec,OH,DODGE,01/01/20140088 12:00:00 PM,PURPL,0
153,7940366609,FWF5011,10/14/2014,71A,Insp Sticker Expired (NYS),NY,NISSA,01/01/20160209 12:00:00 PM,GY,0
154,7978661817,63443JM,08/29/2014,38,Failure to Display Muni Rec,NY,INTER,01/01/88888888 12:00:00 PM,BROWN,0
155,7826505057,2028689,07/30/2014,84,Platform lifts in low posit,IN,FRUEH,01/01/88880088 12:00:00 PM,BLACK,0
156,8017312052,GFD5936,03/13/2015,70A,Reg. Sticker Expired (NYS),NY,TOYOT,01/01/20150308 12:00:00 PM,TN,0
157,8025260781,EGM2924,06/12/2015,20A,No Parking (Non-COM),NY,MITSU,01/01/20160413 12:00:00 PM,GY,0
158,7839978903,69195JZ,09/24/2014,42,Exp. Muni-Mtr (Com. Mtr. Z),NY,MITSU,01/01/20160731 12:00:00 PM,RD,0
159,7895959736,88920MB,08/31/2014,46B,Double Parking (Com-100Ft),NY,FRUEH,01/01/20141130 12:00:00 PM,BK,0
160,1381851332,ERL6093,05/09/2015,,,NY,MAZDA,01/01/20170304 12:00:00 PM,GY,0
161,7044490499,54799JG,08/12/2014,18,No Stand (bus lane),NY,FORD,01/01/20151231 12:00:00 PM,WH,0
162,7564374019,GFW9912,08/12/2014,20A,No Parking (Non-COM),NY,MAZDA,01/01/20150321 12:00:00 PM,GREY,0
163,7030989776,L30ETD,10/30/2014,19,No Stand (bus stop),NJ,NISSA,01/01/88888888 12:00:00 PM,BLACK,0
164,1354183642,11452ME,06/23/2015,,,NY,FORD,01/01/20170630 12:00:00 PM,WH,1
165,8027757988,GSA1140,06/13/2015,71,Insp. Sticker Missing (NYS,NY,CHRYS,01/01/20160910 12:00:00 PM,WH,0
166,7950691475,67764JR,11/10/2014,38,Failure to Display Muni Rec,NY,INTER,01/01/20141231 12:00:00 PM,WHITE,0
167,7662640474,ACD3800,03/12/2015,46A,Double Parking (Non-COM),NY,NISSA,01/01/20150404 12:00:00 PM,BLACK,0
168,7665049023,GHE7873,09/15/2014,21,No Parking (street clean),NY,GMC,01/01/20150828 12:00:00 PM,GR,0
169,8022926437,1JC665,06/23/2015,21,No Parking (street clean),MA,CHEVR,01/01/20160588 12:00:00 PM,GREEN,0
170,7001084840,DPK4617,02/26/2015,38,Failure to Display Muni Rec,NY,SUBAR,01/01/20160417 12:00:00 PM,GY,0
171,7992686664,GFK6412,04/29/2015,71A,Insp Sticker Expired (NYS),NY,NISSA,01/01/20170217 12:00:00 PM,GY,0
172,7208349824,610133,07/09/2014,51,Sidewalk,NY,CHEVR,01/01/20160520 12:00:00 PM,BK,0
173,7889171055,188WEU,03/11/2015,31,No Stand (Com. Mtr. Zone),CT,SUZUK,01/01/88880088 12:00:00 PM,OTHER,0
174,7089578320,GVK7857,03/04/2015,70,Reg. Sticker Missing (NYS),NY,BMW,01/01/88888888 12:00:00 PM,BLUE,0
175,7557956060,S364CA,01/26/2015,38,Failure to Display Muni Rec,NY,BMW,01/01/20150515 12:00:00 PM,SILVE,0
176,7557956060,S364CA,01/26/2015,38,Failure to Display Muni Rec,NY,BMW,01/01/20150515 12:00:00 PM,SILVE,0
177,8010600520,GKP1988,07/28/2014,14,No Standing,NY,BMW,01/01/20150929 12:00:00 PM,WH,0
178,7969135547,DRX2540,01/26/2015,38,Failure to Display Muni Rec,NY,TOYOT,01/01/20160530 12:00:00 PM,GOLD,0
179,7969135547,DRX2540,01/26/2015,38,Failure to Display Muni Rec,NY,TOYOT,01/01/20160530 12:00:00 PM,GOLD,0
180,7092099663,GSN3439,04/30/2015,21,No Parking (street clean),NY,MERCU,01/01/20160715 12:00:00 PM,GY,0
181,7094190815,AMC8458,09/30/2014,20A,No Parking (Non-COM),NY,HONDA,01/01/20150408 12:00:00 PM,TN,0
182,7265948488,DEB6195,11/21/2014,74,Missing Display Plate,NY,HUMME,01/01/20160507 12:00:00 PM,BK,0
183,8030852095,GVA9768,05/26/2015,74B,Covered Plate,NY,ACURA,01/01/20170511 12:00:00 PM,BK,0
184,7990337228,A634298,09/17/2014,37,Expired Muni Meter,KS,CHRYS,01/01/20141088 12:00:00 PM,GREEN,0
185,7739161421,GTR8180,12/18/2014,21,No Parking (street clean),NY,SMART,01/01/20160930 12:00:00 PM,GY,0
186,7968288265,WBB45L,06/24/2015,14,No Standing,NJ,LINCO,01/01/88888888 12:00:00 PM,WHITE,0
187,8011803694,EMK4073,08/20/2014,21,No Parking (street clean),NY,ROVER,01/01/20141027 12:00:00 PM,BK,0
188,7121122248,FFW3299,11/18/2014,71A,Insp Sticker Expired (NYS),NY,ACURA,01/01/20161102 12:00:00 PM,RD,0
189,7888345608,84T5494,07/11/2014,31,No Stand (Com. Mtr. Zone),TX,GMC,01/01/20140888 12:00:00 PM,GREEN,0
190,7144108852,GPH9261,02/12/2015,38,Failure to Display Muni Rec,NY,HONDA,01/01/20160411 12:00:00 PM,WH,0
191,1374632776,T655967C,10/27/2014,,,NY,LINCO,01/01/20150630 12:00:00 PM,BLACK,0
192,1371150187,FZB9094,06/22/2014,,,NY,INFIN,01/01/20140601 12:00:00 PM,SLVR,0
193,7658102878,26897ME,07/07/2014,14,No Standing,NY,DODGE,01/01/20160310 12:00:00 PM,WH,0
194,7663451200,BXRK02,05/16/2015,37,Expired Muni Meter,FL,SCION,01/01/88880088 12:00:00 PM,WHITE,0
195,8006959262,T624605C,08/14/2014,21,No Parking (street clean),NY,TOYOT,01/01/20140731 12:00:00 PM,BK,0
196,1377311818,GPP8080,03/08/2015,,,99,MITSU,01/01/20150228 12:00:00 PM,SILVE,0
197,1379072736,23120MG,03/07/2015,,,NY,MJ/FY,01/01/20161031 12:00:00 PM,WHITE,0
